dataset,run_index,issuekey_xi,issuekey_xj,title_xi,description_xi,title_xj,description_xj,predicted_Yi,actual_Yi,storypoint_xi,storypoint_xj,request_started_at,request_finished_at,request_runtime_seconds,raw_response
mule,5,MULE-8738,MULE-8649,No data type resolution accessing flow/session properties using dot notation,Data type resolution works for session/flow variables on MEL expressions using map syntax (like flowVars['foo']) but does not work when using dot syntax (like flowVars.foo).,Resolve data type from simple MEL expressions,"Now that dataType is being propagated for payload and properties, it would be good if dataType can be propagated when MEL expressions are used.  For example, when using set-payload with ""flowVars['foo']"" expression, it would be good if the property dataType is assigned to the payload's datatype.    Simple expressions include:  * payload/message.payload  * direct access to invocation/session properties, like #[foo], where foo is an invocation/session variable  * access to flowVars, like flowVars['foo']  * access to sessionVars, like sessionVars['foo']",-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:17Z,1177.938,"{""Decision"": -1}"
mule,5,MULE-8527,MULE-9278,Remove AspectJ dependency in CE,AspectJ needs to be upgraded to version 1.8.5 to be consistent with the version number across all distributions and remove warnings when building.,Add Attributes to MuleMessage and make MuleMessage extend TypedValue.,Also make updates to MEL as required.,-1,-1,3,5,2026-05-14T20:44:39Z,2026-05-14T21:04:17Z,1177.943,"{""Decision"": -1}"
mule,5,MULE-9012,MULE-8817,Include the name of the xml file where an element is declared when logging the element path,"Currently, only the mule path and the application name are being logged when logging the path of an element as part of an exception message.    For large applications composed of many files, the name of the xml file will be helpful to better find the component where the exception happened.",Upgrade to Spring 4.2.x,"We are in 4.1.6, wouldn't require a big effort.  Consider upgrading Spring security too.",1,1,3,1,2026-05-14T20:44:39Z,2026-05-14T21:04:17Z,1177.981,"{""Decision"": 1}"
mule,5,MULE-9069,MULE-8541,ExecutionInterceptor causes a 50% regression in the proxy scenario.,"We found on the PerfCI test that the three proxy scenarios:  [Module|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/http_module_proxy], [Transport|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/http_transport_proxy] and [Jetty|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/jetty_transport_proxy]    Testing back with different builds we found that the regression was introduced between the builds 73 and 76, which relates to the dates 10/02/2015 and 10/05/2015, this reduces the list of possible changes to three commits, reading them one of them was spotted: [commit|https://github.com/mulesoft/mule/commit/3426f8762ced0f18b3193ab5384d0ea27b8f6696]    We rollbacked the change in the ce distribution and was found that this is the cause of the problem, we encourage the team to define how to fix the previous issue to not impact on performance.    Also during profilling a big contention was found tha ill attache in the logs output that may be the result of this changes regression.",Exposes information needed by DataMapper in order to run as a plugin,"DataMapper is accessing some elements in our code that is defined as protected. Because now DataMapper is going to be a Mule plugin, this won't work anymore as it will ran in a different classloader.    Need access to the following fields on MVELExpressionLanguage: globalFunctions, parserConfiguration and aliases    Need access to MuleImmutableVariableResolver class",1,1,5,2,2026-05-14T20:44:39Z,2026-05-14T21:04:18Z,1178.855,"{""Decision"": 1}"
mule,5,MULE-9109,MULE-8909,Remove VM transport,Remove VM transport    - All test cases testing VM must be removed  - All test cases  that are using VM as a mean for testing something else should be migrated to use something else whenever possible. PK created some infrastructure to replace VM usage like FunctionalTestCase.runFlow and <test:queue> component. ( see DatasourcePoolingLimitTestCase)  - When is not possible to replace VM a new task should be created to cover that scenario when we have the required connectors/features to be able to test it. Add the test cases class names so we can use them as input for re-creating the test cases). Use issue https://www.mulesoft.org/jira/browse/MULE-9307,Implement Reconnection on the Ext-Api,Implement Reconnection on the Ext-Api,1,1,21,8,2026-05-14T20:44:39Z,2026-05-14T21:04:18Z,1179.169,"{""Decision"": 1}"
mule,5,MULE-8539,MULE-8514,Lifecycle not applied to Objects manually registered during initialisation,Suppose an Initialisable or Startable object which during any of those phases registers a new Lifecycle object (e.g.: like an endpoint which creates and registers a connector).    Only the already completed phases are applied to the newly registered object while the one being currently executed isn't,Add support for non-blocking processing strategy to CXF/WS-Consumer,Add support so that CXF/WS-Consumer can be used in Flow and non-blocking processing supported.,-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:18Z,1179.173,"{""Decision"": -1}"
mule,5,MULE-8666,MULE-8742,Set mime type correct for common files with FTP/File connectors,"The FTP and File connectors should set mime types for common file types correct, including CSV, XML, and JSON.",Cannot build Mule ESB Maven Tools with Java 8,"When trying to build mule-esb-maven-tools from source code using JDK 8, it fails with the attached error message.",-1,-1,5,8,2026-05-14T20:44:39Z,2026-05-14T21:04:19Z,1179.907,"{""Decision"": -1}"
mule,5,MULE-8609,MULE-8509,Should be able to fetch prototype by name without lifecycle applied,"In most scenarios, when a prototype is lookup up by name, lifecycle should be applied to it before returning.    There're some scenarios (e.g.: fetching a MessageProcessor that will go into a DynamicPipeline) which are not so and we need a way to specify that this case is different.    The following method was applied to the LifecycleRegistry to support such case:    {code:java}      /**       * Look up a single object by name.       * <p/>       * Because {@link #lookupObject(String)} will       * return objects which had lifecycle phases       * applied,this method exists for cases in which       * you want to specify that lifecycle is not to be       * applied. The actual semantics of that actually depends       * on the implementation, since invoking this method       * might return a new instance or an already existing one.       * If an existing one is returned, then the lifecycle might       * have been previously applied regardless.       *       * @param key            the key of the object you're looking for       * @param applyLifecycle if lifecycle should be applied to the returned object.       *                       Passing {@code true} doesn't guarantee that the lifecycle is applied       * @return object or {@code null} if not found       */      <T> T lookupObject(String key, boolean applyLifecycle);  {code}",CXF Proxy-Client is throwing NullPointerException,"Nowadays, if you want to create a proxy, you have to specify the port name and the soapVersion for each binding. This information is provided by the wsdl, so it shouldn't be required, the proxies should detect them automatically.    As a consequence, if you have an API with multiple ports, one of them receiving a SOAP 1.1 envelope, and other one receiving a SOAP 1.2 envelope, and if you don't specify the port and the soapVersion in both proxies (service and client) you will not be able to send a SOAP 1.2 message.     This means that a simple proxy cannot be used with both types of SOAP versions.",-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:19Z,1180.211,"{""Decision"": -1}"
mule,5,MULE-9221,MULE-8627,"Add buildPaths method to Notification Utils that returns Map<MessageProcessor, String>",As a result of a refactor you've change the return type of NotificationUtils.buildPaths    This from MUnit point of view brakes backward and render future MUnit versions incompatible with older versions of Mule.    If possible we would like you guys to change it back to return the same type.,Review CXF documentation,Review CXF documentation,1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:20Z,1180.526,"{""Decision"": 1}"
mule,5,MULE-8576,MULE-8530,Inbound properties copied to outbound properties not maintain their datatypes,"When the Inbound properties are copied to outbound properties they should maintain their datatypes. Right now they are setted to the default message type (Encoding = null, MimeType = \*/\*).    1) Send HTTP request to http://localhost:8081/copy_property .    2) In the first log you can check that the outbound property ""inboundProp"" has mimeType=""text/xml"" encoding=""UTF-8"" before the VM connector.     3) After the VM connector the inboundProperty ""inboundProp"" is copied from the inboundProperties to outboundProperties with ""<copy-properties propertyName=""inboundProp"" doc:name=""Copy Property""/>"".  Then you can check in the second logger that the Datatype of the ""inboundProp"" is set with encoding = null, mimeType = */*","Remove domain, ISBN, date, credit card validators",Remove,1,1,3,1,2026-05-14T20:44:39Z,2026-05-14T21:04:20Z,1180.667,"{""Decision"": 1}"
mule,5,MULE-8501,MULE-8724,ExtensionManagerConfigurationBuilder not invoked when Mule starts in standalone mode,"When starting in standalone mode, the ExtensionManagerConfigurationBuilder is not been invoked and thus applications fail to deploy if they contain any extensions",Operation state handling in extensions api,"We need to clearly define how to manage state within operations define with extensions api. Not only define how to implement each use case but also doing it in a way that fits the user mindset.    We need:   - Global state between operators   - Global state per config   - Global state per tenant config   - State for a particular operation (one per xml element) disregarding the config    I'm just trying to list all the cases, then we would have to try to come up with use cases for each use case.",-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:21Z,1182.188,"{""Decision"": -1}"
mule,5,MULE-8533,MULE-9164,MBeans/JMX Memory Leak on vanilla Mule ESB Standalone,"Jira created at request of Mariano Gonzalez - see http://forum.mulesoft.org/mulesoft/topics/mbeans-jmx-memory-leak-on-vanilla-mule-esb-standalone-no-custom-code-deployed?utm_source=notification&utm_medium=email&utm_campaign=new_reply&utm_content=reply_button&reply%5Bid%5D=15618818#reply_15618818    1) Deploy an out of the box Mule Standalone ESB, e.g. mule-standalone-3.6.1  2) Start - default app deploys, no custom code deployed  3) Start Oracle VisualVM, connect to Mule ESB  4) Watch the heap being consumed    I performed this test with max memory changed to 256Mb in wrapper.conf (so I didn't have to wait so long for memory to be consumed), on openSuse 13.1, with Oracle Java version ""1.8.0_31""  Java(TM) SE Runtime Environment (build 1.8.0_31-b13)  Java HotSpot(TM) 64-Bit Server VM (build 25.31-b07, mixed mode)    I have observed the same symptoms using Java jdk1.7.0_75 on openSuse, and Java jdk1.7.0_xx on Mac/OS, so it doesn't seem to be o/s or Java related.    If I don't attempt to monitor Mule ESB, the memory leaks don't appear to happen, though it's difficult to be sure without being able to monitor, but I presume that this is MBean/JMX instrumentation related.    Running Oracle JConsole does not appear to induce the same dramatic memory consumption, but does seem to cause some sort of slow incremental leak.",Release MVEL 2.1.9-MULE-009,Perform a release of MVEL that contains the fix for the linked issues.,1,1,8,5,2026-05-14T20:44:39Z,2026-05-14T21:04:21Z,1182.324,"{""Decision"": 1}"
mule,5,MULE-8742,MULE-8654,Cannot build Mule ESB Maven Tools with Java 8,"When trying to build mule-esb-maven-tools from source code using JDK 8, it fails with the attached error message.",Can't use redelivery policy with FTP,"If an idempotent-redelivery-policy is defined for an inbound-endpoint, the execution of the flow will halt after the following message: org.mule.processor.IdempotentRedeliveryPolicy: The message cannot be processed because the digest could not be generated. Either make the payload serializable or use an expression.",1,1,8,5,2026-05-14T20:44:39Z,2026-05-14T21:04:22Z,1182.803,"{""Decision"": 1}"
mule,5,MULE-8573,MULE-8528,Add support for expressions in the authentication configuration of the HTTP connector,Add support for MEL expressions in the attributes of the authentication elements of the new HTTP connector.,When custom validator fails doesn't throw exception,When using this custom validator:    {code}      public static class FailingCustomValidator implements Validator      {            @Override          public ValidationResult validate(MuleEvent event)          {              return ImmutableValidationResult.error(TEST_MESSAGE);          }      }  {code}    flow execution goes on and now exception is thrown.,1,1,3,1,2026-05-14T20:44:39Z,2026-05-14T21:04:22Z,1182.943,"{""Decision"": 1}"
mule,5,MULE-9035,MULE-8531,Add extensions parent pom to script for deploying to maven central repo,"Currently buildtools/scripts/DeployArtifacts.groovy doesn't deploy org.mule.extensions:mule-extensions, we need it because is the parent for all modules created by extensions-api",Fix validation module issues,Fix linked issues of the validations module,-1,-1,5,13,2026-05-14T20:44:39Z,2026-05-14T21:04:23Z,1183.52,"{""Decision"": -1}"
